Key,Translation,Category
error.network,Network error,error
error.unauthorized,Unauthorized access,error
error.not_found,Not found,error
error.server_error,Server error,error
error.forbidden,Access forbidden,error
,,
# Notifications,,
notification.new_order,New Order,notification
notification.order_status,Order Status Updated,notification
notification.order_cancelled,Order Cancelled,notification
notification.profile_updated,Profile Updated,notification
,,
# Dashboard,,
dashboard.overview,Overview,dashboard
dashboard.sales,Sales,dashboard
dashboard.orders,Orders,dashboard
dashboard.customers,Customers,dashboard
dashboard.popular_items,Popular Items,dashboard
dashboard.recent_orders,Recent Orders,dashboard
dashboard.statistics,Statistics,dashboard
dashboard.revenue_today,Today's revenue,dashboard
dashboard.orders_today,Orders today,dashboard
dashboard.avg_order_value,Average order value,dashboard
dashboard.active_users,Active users,dashboard
dashboard.new_users,New users,dashboard
dashboard.pending_verifications,Pending verifications,dashboard
dashboard.refunds,Refunds,dashboard
dashboard.conversion_rate,Conversion rate,dashboard
dashboard.traffic,Traffic,dashboard
dashboard.system_health,System health,dashboard
dashboard.top_restaurants,Top restaurants,dashboard
dashboard.top_categories,Top categories,dashboard
dashboard.no_data,No data,dashboard
dashboard.loading_metrics,Loading metrics...,dashboard
dashboard.title_admin,Admin Dashboard,dashboard
dashboard.subtitle_admin,Admin management system - overview,dashboard
dashboard.today_statistics,Today's statistics,dashboard
dashboard.realtime_info,Real-time daily updates,dashboard
dashboard.total_users,Total users,dashboard
dashboard.total_orders,Total orders,dashboard
dashboard.active_orders,Active orders,dashboard
dashboard.total_revenue,Total revenue,dashboard
dashboard.popular_items_subtitle,Most popular menu items,dashboard
dashboard.ordered_times,Ordered {count} times,dashboard
dashboard.quick_actions,Quick actions,dashboard
dashboard.quick_actions_subtitle,Access key admin functions quickly,dashboard
,,
# Admin,,
admin.users,Users Management,admin
admin.restaurants,Restaurants Management,admin
admin.categories,Categories Management,admin
admin.orders,Orders Management,admin
admin.settings,System Settings,admin
admin.notifications,System Notifications,admin
admin.search_placeholder,"Search users, restaurants...",admin
admin.orders_search_placeholder,Search orders, customer, restaurant...,admin
admin.add_user,Add new user,admin
admin.users_total,Total {count} users,admin
admin.search_users,Search users,admin
admin.users_search_placeholder,Search username, email, phone...,admin
admin.clear_search,Clear search,admin
admin.role.customer,Customer,admin
admin.role.general_restaurant,General restaurant,admin
admin.role.special_restaurant,Special restaurant,admin
admin.role.admin,Admin,admin
admin.table.user,User,admin
admin.table.contact,Contact info,admin
admin.no_restaurant,No restaurant,admin
admin.users_empty_title,No users found,admin
admin.users_empty_search_message,Try adjusting search or filters,admin
admin.users_empty_message,There are no users in the system yet,admin
admin.add_first_user,Add the first user,admin
admin.user_deleted_success,Deleted user "{username}" successfully,admin
admin.user_role_updated,Updated user role to {role} successfully,admin
admin.update_role_failed,Unable to update user role,admin
admin.delete_user_failed,Unable to delete user,admin
admin.user_modal.view_title,User details,admin
admin.user_modal.create_title,Add new user,admin
admin.user_modal.edit_title,Edit user,admin
admin.user_modal.password_optional,leave blank if unchanged,admin
admin.user_modal.enter_password,Enter password,admin
admin.user_modal.leave_blank_password,Leave blank if not changing password,admin
admin.enable_account,Enable account,admin
admin.user_extra_info,Additional information,admin
admin.last_login,Last login,admin
admin.never_logged_in,Never logged in,admin
admin.confirm_delete_user,Are you sure to delete user "{username}"?\n\nThis action cannot be undone.,admin
admin.date_range,Date range,admin
admin.today,Today,admin
admin.yesterday,Yesterday,admin
admin.last_7_days,Last 7 days,admin
admin.last_30_days,Last 30 days,admin
admin.export_csv,Export CSV,admin
admin.export_excel,Export Excel,admin
admin.refresh,Refresh,admin
admin.all_statuses,All statuses,admin
admin.table.id,ID,admin
admin.table.name,Name,admin
admin.table.email,Email,admin
admin.table.role,Role,admin
admin.table.status,Status,admin
admin.table.created_at,Created at,admin
admin.table.actions,Actions,admin
admin.action.view,View,admin
admin.action.edit,Edit,admin
admin.action.delete,Delete,admin
admin.action.enable,Enable,admin
admin.action.disable,Disable,admin
admin.status.active,Active,admin
admin.status.inactive,Inactive,admin
admin.status.disabled,Disabled,admin
